Store,Date,Sales
1,2015-05-21,3755
1,2015-05-22,4459
1,2015-05-23,4276
1,2015-05-26,4211
1,2015-05-27,4083
1,2015-05-28,4111
1,2015-05-29,4656
1,2015-05-30,5592
1,2015-06-01,5774
1,2015-06-02,5450
1,2015-06-03,5809
1,2015-06-05,5384
1,2015-06-06,4183
1,2015-06-08,4071
1,2015-06-09,4102
1,2015-06-10,3591
1,2015-06-11,3627
1,2015-06-12,3695
1,2015-06-13,4256
1,2015-06-15,5518
1,2015-06-16,4852
1,2015-06-17,4000
1,2015-06-18,4645
1,2015-06-19,4202
1,2015-06-20,4097
1,2015-06-22,3846
1,2015-06-23,3762
1,2015-06-24,3346
1,2015-06-25,3533
1,2015-06-26,3317
1,2015-06-27,4019
1,2015-06-29,5197
1,2015-06-30,5735
1,2015-07-01,5223
1,2015-07-02,5558
1,2015-07-03,4665
1,2015-07-04,4797
1,2015-07-06,4359
1,2015-07-07,3650
1,2015-07-08,3797
1,2015-07-09,3897
1,2015-07-10,3808
1,2015-07-11,3530
1,2015-07-13,5054
1,2015-07-14,5042
1,2015-07-15,4767
1,2015-07-16,4427
1,2015-07-17,4852
1,2015-07-18,4406
1,2015-07-20,4395
1,2015-07-21,3558
1,2015-07-22,3464
1,2015-07-23,3769
1,2015-07-24,3706
1,2015-07-25,4364
1,2015-07-27,6102
1,2015-07-28,5011
1,2015-07-29,4782
1,2015-07-30,5020
1,2015-07-31,5263
2,2015-05-22,4564
2,2015-05-23,2732
2,2015-05-26,4708
2,2015-05-27,5093
2,2015-05-28,4049
2,2015-05-29,4541
2,2015-05-30,3447
2,2015-06-01,6629
2,2015-06-02,7099
2,2015-06-03,6682
2,2015-06-04,5810
2,2015-06-05,4938
2,2015-06-06,2641
2,2015-06-08,3918
2,2015-06-09,4097
2,2015-06-10,5035
2,2015-06-11,4240
2,2015-06-12,3539
2,2015-06-13,2574
2,2015-06-15,8106
2,2015-06-16,6243
2,2015-06-17,6924
2,2015-06-18,5154
2,2015-06-19,4926
2,2015-06-20,3020
2,2015-06-22,4123
2,2015-06-23,4094
2,2015-06-24,4805
2,2015-06-25,4022
2,2015-06-26,3953
2,2015-06-27,2404
2,2015-06-29,7961
2,2015-06-30,9863
2,2015-07-01,6431
2,2015-07-02,6189
2,2015-07-03,4838
2,2015-07-04,4475
2,2015-07-06,4132
2,2015-07-07,4313
2,2015-07-08,5676
2,2015-07-09,4082
2,2015-07-10,4384
2,2015-07-11,2677
2,2015-07-13,6874
2,2015-07-14,6122
2,2015-07-15,6406
2,2015-07-16,5062
2,2015-07-17,4518
2,2015-07-18,3417
2,2015-07-20,4435
2,2015-07-21,3836
2,2015-07-22,5093
2,2015-07-23,4108
2,2015-07-24,3854
2,2015-07-25,2512
2,2015-07-27,6627
2,2015-07-28,5671
2,2015-07-29,6402
2,2015-07-30,5567
2,2015-07-31,6064
3,2015-05-21,7682
3,2015-05-22,7349
3,2015-05-23,4613
3,2015-05-26,6443
3,2015-05-27,5589
3,2015-05-28,6475
3,2015-05-29,7421
3,2015-05-30,4542
3,2015-06-01,11594
3,2015-06-02,10455
3,2015-06-03,9590
3,2015-06-05,9685
3,2015-06-06,4622
3,2015-06-08,6567
3,2015-06-09,7127
3,2015-06-10,6440
3,2015-06-11,5656
3,2015-06-12,6181
3,2015-06-13,4687
3,2015-06-15,10818
3,2015-06-16,9780
3,2015-06-17,8524
3,2015-06-18,7537
3,2015-06-19,8074
3,2015-06-20,3891
3,2015-06-22,5840
3,2015-06-23,6757
3,2015-06-24,5448
3,2015-06-25,5763
3,2015-06-26,6222
3,2015-06-27,5156
3,2015-06-29,10243
3,2015-06-30,13261
3,2015-07-01,8311
3,2015-07-02,7450
3,2015-07-03,8149
3,2015-07-04,4482
3,2015-07-06,6736
3,2015-07-07,6180
3,2015-07-08,6347
3,2015-07-09,6613
3,2015-07-10,6316
3,2015-07-11,4011
3,2015-07-13,9462
3,2015-07-14,8625
3,2015-07-15,8663
3,2015-07-16,7909
3,2015-07-17,6679
3,2015-07-18,4258
3,2015-07-20,5798
3,2015-07-21,5600
3,2015-07-22,5414
3,2015-07-23,5702
3,2015-07-24,5080
3,2015-07-25,3878
3,2015-07-27,8107
3,2015-07-28,8864
3,2015-07-29,7610
3,2015-07-30,8977
3,2015-07-31,8314
4,2015-05-22,9480
4,2015-05-23,10118
4,2015-05-26,10587
4,2015-05-27,8305
4,2015-05-28,8550
4,2015-05-29,10529
4,2015-05-30,12187
4,2015-06-01,13727
